date,volume
2023-12-13,296.688
2023-12-21,297.596
2024-01-04,298.146
2024-02-06,300.970
2024-09-24,341.650
2024-10-01,315.317
2025-03-16,329.982
2025-04-15,332.776
2025-04-17,333.756
